Time,Digital Thermometer,Thermistor
26/01/2021 16:43,1.12,1.15
26/01/2021 16:43,1.19,1.15
26/01/2021 16:43,1.19,1.13
26/01/2021 16:43,1.19,1.15
26/01/2021 16:43,1.19,1.13
26/01/2021 16:43,1.19,1.15
26/01/2021 16:43,1.19,1.17
26/01/2021 16:43,1.19,1.17
26/01/2021 16:43,1.19,1.15
26/01/2021 16:43,1.12,1.17
26/01/2021 16:43,1.19,1.17
26/01/2021 16:43,1.19,1.13
26/01/2021 16:43,1.19,1.15
26/01/2021 16:43,1.19,1.15
26/01/2021 16:43,1.12,1.15
26/01/2021 16:43,1.19,1.15
26/01/2021 16:43,1.19,1.15
26/01/2021 16:43,1.12,1.15
26/01/2021 16:43,1.19,1.2
26/01/2021 16:43,1.19,1.2
26/01/2021 16:43,1.19,1.15
26/01/2021 16:43,1.19,1.15
26/01/2021 16:43,1.19,1.17
26/01/2021 16:43,1.19,1.17
26/01/2021 16:43,1.19,1.13
26/01/2021 16:43,1.19,1.15
26/01/2021 16:43,1.19,1.15
26/01/2021 16:43,1.19,1.2
26/01/2021 16:43,1.19,1.11
26/01/2021 16:43,1.19,1.15
26/01/2021 16:43,1.19,1.15
26/01/2021 16:43,1.19,1.17
26/01/2021 16:43,1.19,1.17
26/01/2021 16:44,1.19,1.2
26/01/2021 16:44,1.19,1.15
26/01/2021 16:44,1.19,1.13
26/01/2021 16:44,1.19,1.17
26/01/2021 16:44,1.19,1.15
26/01/2021 16:44,1.19,1.17
26/01/2021 16:44,1.19,1.13
26/01/2021 16:44,1.19,1.13
26/01/2021 16:44,1.19,1.17
26/01/2021 16:44,1.19,1.17
26/01/2021 16:44,1.19,1.17
26/01/2021 16:44,1.19,1.15
26/01/2021 16:44,1.19,1.13
26/01/2021 16:44,1.19,1.17
26/01/2021 16:44,1.19,1.15
26/01/2021 16:44,1.19,1.15
26/01/2021 16:44,1.19,1.2
26/01/2021 16:44,1.19,1.17
26/01/2021 16:44,1.19,1.13
26/01/2021 16:44,1.19,1.15
26/01/2021 16:44,1.19,1.13
26/01/2021 16:44,1.19,1.15
26/01/2021 16:44,1.19,1.15
26/01/2021 16:44,1.19,1.2
26/01/2021 16:44,1.19,1.17
26/01/2021 16:44,1.19,1.11
26/01/2021 16:44,1.19,1.11
26/01/2021 16:44,1.19,1.15
26/01/2021 16:44,1.19,1.15
26/01/2021 16:44,1.19,1.17
26/01/2021 16:44,1.19,1.17
26/01/2021 16:44,1.19,1.17
26/01/2021 16:44,1.19,1.17
26/01/2021 16:44,1.19,1.13
26/01/2021 16:44,1.19,1.13
26/01/2021 16:45,1.19,1.15
26/01/2021 16:45,1.19,1.13
26/01/2021 16:45,1.19,1.13
26/01/2021 16:45,1.19,1.11
26/01/2021 16:45,1.19,1.2
26/01/2021 16:45,1.19,1.17
26/01/2021 16:45,1.19,1.17
26/01/2021 16:45,1.19,1.13
26/01/2021 16:45,1.19,1.15
26/01/2021 16:45,1.19,1.15
26/01/2021 16:45,1.19,1.11
26/01/2021 16:45,1.19,1.15
26/01/2021 16:45,1.19,1.15
26/01/2021 16:45,1.19,1.2
26/01/2021 16:45,1.19,1.17
26/01/2021 16:45,1.19,1.2
26/01/2021 16:45,1.19,1.15
26/01/2021 16:45,1.19,1.13
26/01/2021 16:45,1.19,1.15
26/01/2021 16:45,1.19,1.11
26/01/2021 16:45,1.19,1.17
26/01/2021 16:45,1.19,1.15
26/01/2021 16:45,1.19,1.2
